"Plant","Type","Treatment","conc","uptake","uptake_per_conc"
"Qn1","Quebec","常温处理",95,16,0.168421052631579
"Qn1","Quebec","常温处理",175,30.4,0.173714285714286
"Qn1","Quebec","常温处理",250,34.8,0.1392
"Qn1","Quebec","常温处理",350,37.2,0.106285714285714
"Qn1","Quebec","常温处理",500,35.3,0.0706
"Qn1","Quebec","常温处理",675,39.2,0.0580740740740741
"Qn1","Quebec","常温处理",1000,39.7,0.0397
"Qn2","Quebec","常温处理",95,13.6,0.143157894736842
"Qn2","Quebec","常温处理",175,27.3,0.156
"Qn2","Quebec","常温处理",250,37.1,0.1484
"Qn2","Quebec","常温处理",350,41.8,0.119428571428571
"Qn2","Quebec","常温处理",500,40.6,0.0812
"Qn2","Quebec","常温处理",675,41.4,0.0613333333333333
"Qn2","Quebec","常温处理",1000,44.3,0.0443
"Qn3","Quebec","常温处理",95,16.2,0.170526315789474
"Qn3","Quebec","常温处理",175,32.4,0.185142857142857
"Qn3","Quebec","常温处理",250,40.3,0.1612
"Qn3","Quebec","常温处理",350,42.1,0.120285714285714
"Qn3","Quebec","常温处理",500,42.9,0.0858
"Qn3","Quebec","常温处理",675,43.9,0.065037037037037
"Qn3","Quebec","常温处理",1000,45.5,0.0455
"Qc1","Quebec","冷处理",95,14.2,0.149473684210526
"Qc1","Quebec","冷处理",175,24.1,0.137714285714286
"Qc1","Quebec","冷处理",250,30.3,0.1212
"Qc1","Quebec","冷处理",350,34.6,0.0988571428571429
"Qc1","Quebec","冷处理",500,32.5,0.065
"Qc1","Quebec","冷处理",675,35.4,0.0524444444444444
"Qc1","Quebec","冷处理",1000,38.7,0.0387
"Qc2","Quebec","冷处理",95,9.3,0.0978947368421053
"Qc2","Quebec","冷处理",175,27.3,0.156
"Qc2","Quebec","冷处理",250,35,0.14
"Qc2","Quebec","冷处理",350,38.8,0.110857142857143
"Qc2","Quebec","冷处理",500,38.6,0.0772
"Qc2","Quebec","冷处理",675,37.5,0.0555555555555556
"Qc2","Quebec","冷处理",1000,42.4,0.0424
"Qc3","Quebec","冷处理",95,15.1,0.158947368421053
"Qc3","Quebec","冷处理",175,21,0.12
"Qc3","Quebec","冷处理",250,38.1,0.1524
"Qc3","Quebec","冷处理",350,34,0.0971428571428571
"Qc3","Quebec","冷处理",500,38.9,0.0778
"Qc3","Quebec","冷处理",675,39.6,0.0586666666666667
"Qc3","Quebec","冷处理",1000,41.4,0.0414
"Mn1","Mississippi","常温处理",95,10.6,0.111578947368421
"Mn1","Mississippi","常温处理",175,19.2,0.109714285714286
"Mn1","Mississippi","常温处理",250,26.2,0.1048
"Mn1","Mississippi","常温处理",350,30,0.0857142857142857
"Mn1","Mississippi","常温处理",500,30.9,0.0618
"Mn1","Mississippi","常温处理",675,32.4,0.048
"Mn1","Mississippi","常温处理",1000,35.5,0.0355
"Mn2","Mississippi","常温处理",95,12,0.126315789473684
"Mn2","Mississippi","常温处理",175,22,0.125714285714286
"Mn2","Mississippi","常温处理",250,30.6,0.1224
"Mn2","Mississippi","常温处理",350,31.8,0.0908571428571429
"Mn2","Mississippi","常温处理",500,32.4,0.0648
"Mn2","Mississippi","常温处理",675,31.1,0.0460740740740741
"Mn2","Mississippi","常温处理",1000,31.5,0.0315
"Mn3","Mississippi","常温处理",95,11.3,0.118947368421053
"Mn3","Mississippi","常温处理",175,19.4,0.110857142857143
"Mn3","Mississippi","常温处理",250,25.8,0.1032
"Mn3","Mississippi","常温处理",350,27.9,0.0797142857142857
"Mn3","Mississippi","常温处理",500,28.5,0.057
"Mn3","Mississippi","常温处理",675,28.1,0.0416296296296296
"Mn3","Mississippi","常温处理",1000,27.8,0.0278
"Mc1","Mississippi","冷处理",95,10.5,0.110526315789474
"Mc1","Mississippi","冷处理",175,14.9,0.0851428571428571
"Mc1","Mississippi","冷处理",250,18.1,0.0724
"Mc1","Mississippi","冷处理",350,18.9,0.054
"Mc1","Mississippi","冷处理",500,19.5,0.039
"Mc1","Mississippi","冷处理",675,22.2,0.0328888888888889
"Mc1","Mississippi","冷处理",1000,21.9,0.0219
"Mc2","Mississippi","冷处理",95,7.7,0.0810526315789474
"Mc2","Mississippi","冷处理",175,11.4,0.0651428571428571
"Mc2","Mississippi","冷处理",250,12.3,0.0492
"Mc2","Mississippi","冷处理",350,13,0.0371428571428571
"Mc2","Mississippi","冷处理",500,12.5,0.025
"Mc2","Mississippi","冷处理",675,13.7,0.0202962962962963
"Mc2","Mississippi","冷处理",1000,14.4,0.0144
"Mc3","Mississippi","冷处理",95,10.6,0.111578947368421
"Mc3","Mississippi","冷处理",175,18,0.102857142857143
"Mc3","Mississippi","冷处理",250,17.9,0.0716
"Mc3","Mississippi","冷处理",350,17.9,0.0511428571428571
"Mc3","Mississippi","冷处理",500,17.9,0.0358
"Mc3","Mississippi","冷处理",675,18.9,0.028
"Mc3","Mississippi","冷处理",1000,19.9,0.0199
